,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints
1,LAL,1,8/18/20,Home,POR,L,93,100
2,LAL,2,8/20/20,Home,POR,W,111,88
3,LAL,3,8/22/20,Away,POR,W,116,108
4,LAL,4,8/24/20,Away,POR,W,135,115
5,LAL,5,8/29/20,Home,POR,W,131,122
6,LAL,6,9/1/20,Home,HOU,L,97,112
7,LAL,7,9/6/20,Home,HOU,W,117,109
8,LAL,8,9/8/20,Away,HOU,W,112,102
9,LAL,9,9/10/20,Away,HOU,W,110,100
10,LAL,10,9/12/20,Home,HOU,W,119,96
11,LAL,11,9/18/20,Home,DEN,W,126,114
12,LAL,12,9/20/20,Home,DEN,W,105,103
13,LAL,13,9/22/20,Away,DEN,L,106,114
14,LAL,14,9/24/20,Away,DEN,W,114,108
15,LAL,15,9/26/20,Home,DEN,W,117,107
16,MIA,1,8/18/20,Away,IND,W,113,101
17,MIA,2,8/20/20,Away,IND,W,109,100
18,MIA,3,8/22/20,Home,IND,W,124,115
19,MIA,4,8/24/20,Home,IND,W,99,87
20,MIA,5,8/31/20,Away,MIL,W,115,104
21,MIA,6,9/2/20,Away,MIL,W,116,114
22,MIA,7,9/4/20,Home,MIL,W,115,100
23,MIA,8,9/6/20,Home,MIL,L,115,118
24,MIA,9,9/8/20,Away,MIL,W,103,94
25,MIA,10,9/15/20,Away,BOS,W,117,114
26,MIA,11,9/17/20,Away,BOS,W,106,101
27,MIA,12,9/19/20,Home,BOS,L,106,117
28,MIA,13,9/23/20,Home,BOS,W,112,109
29,MIA,14,9/25/20,Away,BOS,L,108,121
30,MIA,15,9/27/20,Home,BOS,W,125,113